Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;
Horodisch, Abraham;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Horowitz, Nachmin;Berlin SW 61;Deutschland;Urbanstr. 187;;;52.49493757195945, 13.399323731881545;Verlag;Jüdische Bücher aus Berlin;;
Horowitz, Nachmin;Berlin W;Deutschland;Nollendorfstr. 40;;;52.497973085575026, 13.356144815316794;Verlag;Jüdische Bücher aus Berlin;;
Horowitz, Nachmin;Berlin-Charlottenburg;Deutschland;Kantstr. 104;;;52.50657890183223, 13.303713833980215;Verlag;Jüdische Bücher aus Berlin;;
Imprimatur GmbH;Berlin;Deutschland;;;;;Druckerei;Jüdische Bücher aus Berlin;;
Intermacher, J.;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Itzkowski, Hirsch;Berlin N24;Deutschland;Auguststr. 69;;;52.52678055322767, 13.395042643016412;Druckerei;Jüdische Bücher aus Berlin;;
Jalkut GmbH;Berlin-Charlottenburg;Deutschland;Kantstr. 46;;;52.506656517665604, 13.311956523952638;Buchhandlung, Verlag;Jüdische Bücher aus Berlin;;
Jalkut GmbH;Berlin-Charlottenburg;Deutschland;Wielandstr. 32;;;52.502435097066076, 13.316115807614219;Buchhandlung, Verlag;Jüdische Bücher aus Berlin;;
Verlag Judäa;Berlin W8;Deutschland;Französische Str. 49;;;52.515389233011554, 13.39085859589504;Verlag;Jüdische Bücher aus Berlin;;
"Jüdische kooperative Druckerei ""ha-madpis""";Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Kultur Verlag;Berlin S14;Deutschland;Dresdener Str. 34/35;;;52.50570121956887, 13.415325384634595;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Literarischer Verlag;Berlin NW87;Deutschland;Levetzowstr. 16;;;52.520375625364096, 13.3375949596358;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Literarischer Verlag;Berlin-Charlottenburg;Deutschland;Bleibtreustr. 41;;;52.50323573474145, 13.320543011622709;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Literarischer Verlag;Berlin SW 68;Deutschland;Zimmerstr. 7/8;;;52.50727113745809, 13.386792330834878;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Verlag;Berlin;Deutschland;Sächsische Str. 8;;;52.49729633614699, 13.318247694434236;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Verlag;Berlin NW7;Deutschland;Dorotheenstr. 35;;;52.518124492042475, 13.378363350035448;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Verlag;Berlin NW7;Deutschland;Dorotheenstr. 7;;;52.51920876086123, 13.395667448959196;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Verlag;Berlin W57;Deutschland;Potsdamerstr. 63;;;52.50384212536863, 13.367337609775609;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Verlag;Berlin W50;Deutschland;Budapester Str. 11;;;52.51091367148442, 13.376732303799313;Verlag;Jüdische Bücher aus Berlin;;
Jüdischer Verlag;Berlin W50;Deutschland;Nürnberger Str. 8;;;52.5040463220459, 13.340288212897944;Verlag;Jüdische Bücher aus Berlin;;
Juwal;Berlin NW7;Deutschland;Dorotheenstr. 35;;;52.518124492042475, 13.378363350035448;Verlag;Jüdische Bücher aus Berlin;;
Juwal;Berlin W62;Deutschland;Kleiststr. 29;;;52.5005580723804, 13.3473550865073;Verlag;Jüdische Bücher aus Berlin;;
Juwal;Berlin W15;Deutschland;Lietzenburgerstr. 8a;;;52.5007047166621, 13.345085850329653;Verlag;Jüdische Bücher aus Berlin;;
Juwal;Tel Aviv;;Rothschild 17;;;;Verlag;Jüdische Bücher aus Berlin;;
Kahan, Bendit;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Kaliski, Julius;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Kauffmann;Frankfurt a.M.;Deutschland;Schillerstr. 19;;;;Verlag;Jüdische Bücher aus Berlin;;
Kaznelson, Siegmund;Berlin;Deutschland;;;;;;Jüdische Bücher aus Berlin;;
Keren Hajessod;Berlin W15;Deutschland;Sächsische Str. 8;;;52.49729633614699, 13.318247694434236;Verlag;Jüdische Bücher aus Berlin;;
Keren Hajessod;Berlin W15;Deutschland;Meinekestr. 10;;;52.50094111697418, 13.329181530118095;Verlag;Jüdische Bücher aus Berlin;;
"Verlag ""Kind""";Berlin;Deutschland;;;;;Verlag;Jüdische Bücher aus Berlin;;
Klal-Verlag;Berlin SW68;Deutschland;Verlängerte Charlottenstr. 16;;;52.50830400171714, 13.392926194434562;Verlag;Jüdische Bücher aus Berlin;;
Klal-Verlag;Berlin SW68;Deutschland;Markgrafenstr. 73;;;52.508228410739385, 13.394288707928675;Verlag;Jüdische Bücher aus Berlin;;
Klal-Verlag;Berlin SW68;Deutschland;Maaßenstr. 31;;;52.50263495036767, 13.353448546598953;Verlag;Jüdische Bücher aus Berlin;;
Klal-Verlag;Berlin W15;Deutschland;Lietzenburgerstr. 8a;;;52.5007047166621, 13.345085850329653;Verlag;Jüdische Bücher aus Berlin;;
