ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
50yorlebn00me		50 yor lebn	50 יאר לעבן : זאמלבוך געווידמעט מאיר קאסטאף צו זיין 50-יאריקן געבורטסטאג	Meʾir Ḳasṭof yubiley-ḳomiṭeṭ			Meʾir Ḳasṭof yubiley-ḳomiṭeṭ	1935	yid	138
SHOMERSMISHPET	Sholem Aleichem, 1859-1916	SHOMERS MISHPET by Sholem Aleichem, 1888	שמרס משפט					1888	yid	
TsveyShifl-nesiesUnEynBarg-nesieDrayNisim	Shackleton, Ernest Henry, Sir, 1874-1922	tsvey shifl-nesies un eyn barg-nesie: dray nisim	צוויי שיפל-נסיעות איין בארג-נסיה	Barry Goldstein, National Yiddish Book Center			Barry Goldstein, National Yiddish Book Center	2011, 1917-1919	yid	
abgotlobersyid00gott	Gottlober, Abraham Baer, 1810-1899	A. B. Goṭlobers Yidishe ṿerk	א. ב. גאטלאבערס יידישע ווערק	B. Ḳletsḳin			B. Ḳletsḳin	1927	yid	304
adasliderbukh00auer	Auerbach, Ephraim	Adas liderbukh	אדאס לידערבוך	Matones			Matones	c1934	yid	112
afnmizrekhizumru00breg	Bregman, S.	Afn Mizrekh Iz Umruik	אפנ מיזרעכ איז אומרויק : ראמאנ	"Farlag ""Emes"""			"Farlag ""Emes"""	1934	yid	356
aleksovim00etti	Ettinger, Solomon, 1803-1856	Ale ksovim	אלע כתבים	B. Ḳletsḳin			B. Ḳletsḳin	1925	yid	720
algemeyneentsik00dubn		Algemeyne entsiḳlopedye : probehefṭ	אלגעמיינע ענציקלאפעדיע : פראבעהעפט	Dubnoṿ-fond			Dubnoṿ-fond	1932	yid	48
altsineynem00brau	Bra'un, Ḳaiṭi, 1887-1955	Alts in eynem	אלץ אין איינעם : פעליעטאנען, סקיצען און ערצעהלונגען ; פון לאנדאנער אידישען ארבייטער לעבען	o. fg.			o. fg.,	1951?]	yid	190
amerikedosland00kirs	Kirszenbaum, J.	Ameriḳe, dos land fun ṿunder	אמעריקע, דאס לאנד פון ווונדער : רעפארטאזשן	Ḥ. Bzshoza			Ḥ. Bzshoza	1939	yid	362
amolinamerike00kope	Kopeloff, Isidore, 1859-1933	Amol in Ameriḳe	אמאל אין אמעריקע	Ḥ. Bzshoza, hoypṭ farḳoyf far Ameriḳe: M.N. Mayzel	Ḥ. Bzshoza, hoypṭ farḳoyf far Ameriḳe	Ḥ. Bzshoza, hoypṭ farḳoyf far Ameriḳe	M.N. Mayzel	1928	yid	480
amolinhalbnyoyvl00mend	Mendelson, José, 1891-1969	Amol in a halbn yoyvl	אמאל אין א האלבן יובל	Aroysgegebn fun yoyvl ḳomiṭeṭ			Aroysgegebn fun yoyvl ḳomiṭeṭ	1943	yid	522
arbetkinder00baks	Bakst, Y.	Arbet-ḳinder	ארבעט-קינדער : אלעפבייז	Tsenṭraler felḳer-farlag fun FSSR			Tsenṭraler felḳer-farlag fun F.S.S.R.	1930	yid	112
aritmetik100rusi	Rusiecki, A. M.	Ariṭmeṭiḳ 1	אריטמעטיק 1	Melukhe farlag far shul-oysgabn			Melukhe-farlag far shul-oysgabn	1951	yid	146
arumderfabrik00teit	Teitsh, Moishe, 1882-1935	Arum der fabriḳ	ארום דער פאבריק ״די ערשטע שוואלב״ :‏ ‏ראמאן	Ṿaysruslendisher melukhe farlag			Ṿaysruslendisher melukhe-farlag	1929	yid	280
avrahamgolombbib00jesh	Jeshurin, Ephim H., 1885-1967.	Avraham Golomb bibliografye	אברהם גאלאמב ביבליאגראפיע	o. fg.			o. fg.,	1964	yid	34
avrahamzakbibl00jesh	Jeshurin, Ephim H., 1885-1967.	Avraham Zaḳ bibliografye	אברהם זאק ביבליאגראפיע	Dos Poylishe Yidntum			Dos Poylishe Yidntum	1962	yid	34
avukahrashet00lssh		Aṿuḳah Rashe tevot faḳel	אבוקה ראשי תבות פאקעל : העברייאישע און אידישע ר״ת אין א פאפולארען אידיש	L.S. Shṭayn]			L.S. Shṭayn	c708, 1948	yid	104
aykhmandereyberh00robi	Robinson, Nehemiah, 1898-1964	Aykhman, der eyberher fun der Natsi mord-mashin	אייכמאן, דער אייבערהער פון דער נאצי מארד-מאשין	Insṭiṭuṭ far Yidishe Inyonim			Insṭiṭuṭ far Yidishe Inyonim	1961	yid	60
ayndruknunbilder00roiz	Roiz, Salomon	Ayndrukn Un Bilder	איינדרוקן און בילדער : פון א רייזע איבער צוועלף לענדער פון ביידע זייטן	Sh. Royz			Sh. Royz	1962	yid	144
baderofenergrub00lure	Lur'e, Noakh, 1885-1960	Ba der ofener grub	בא דער אפענער גרוב : דערציילונגענ	Der emes			Der emes	1944	yid	98
baladnungrotes00kacy	Kacyzne, Alter, 1885-1941	Baladn un groṭesḳn	באלאדן און גראטעסקן	Ḥ. Bzshoza			Ḥ. Bzshoza	1936	yid	176
barghurbm00zeru	Zerubavel, Jacob, 1886-1967	Barg ḥurbm	בארג חורבן : קאפיטלען פוילן	Aroysgegebn durkh Parṭey-organizatsye Poyle-Tsien (ShMOL)			Aroysgegebn durkh Parṭey-organizatsye Poyle-Tsien (ShMOL)	1948	yid	262
bayunzyuden00pgra		Bay unz Yuden	ביי אונז יודען : זאמעלבוך פאר פאלקלאר און פילאלאגיע	P. Graubard			P. Graubard	683, 1923	yid	242
bilderfuninheysn00drop	Dropkin, Celia, 1888-1956	"Bilder fun ""In heysn vinṭ"""	"בילדער פון ""אין הייסן ווינט"" : לידער, דארציילונגען און בילדער"	J. J. Dropkin]			J. Dropkin	1959	yid	26
bilderfunleben00scho	Schoenfeld, Rose	Bilder fun leben	בילדער פון לעבען	[Friend H. Kramer]			Friend H. Kramer	1925	yid	248
birobidzshan00pere	Perelman, Osher, b. 1895	Birobidzshan	ביראבידזשאן : שילדערונגען פון א רייזע אין יולי-אויגוסט 1934	Groshn-biblioṭeḳ			Groshn-biblioṭeḳ	1934	yid	284
boymfunpoyln00sega	Segalowitch, Zusman, 1884-1949	A boym fun Poyln	א בוים פון פוילן	[ o. fg.]			o. fg.,	1945	yid	198
brisk00aroy		Brisḳ	בריסק : יוביליי-אויסגאבע 1953-1923	Aroysgegebn durkh der farvalṭung fun Brisḳer Landslayṭ-Fareyn un Umgegenṭ in Argenṭine			Aroysgegebn durkh der farvalṭung fun Brisḳer Landslayṭ-Fareyn un Umgegenṭ in Argenṭine	1953	yid	222
brivfunromenro00roll	Rolland, Romain, 1866-1944	Briṿ fun Romen Rolan tsu a Yidishn parṭizan	בריוו פון ראמען ראלאן צו א יידישן פארטיזאן	Centre de Documentation après de lʾU.J.R.E.			Centre de Documentation après de lʾU.J.R.E.	1947	yid	60
bukarester00farb		Buḳareśṭer zamlbikher	בוקארעשטער זאמלביכער	Farband fun Yidishe shrayber un bublitsisṭn in Rumenye			Farband fun Yidishe shrayber un bublitsisṭn in Rumenye	1947	yid	178
dembalegufstoy00mark	Markish, Peretz, 1895-1952	Dem balegufs ṭoyṭ	דעמ באלעגופס טויט	Farlag emes			"Farlag ""Emes"""	1935	yid	248
demnatsisyidishe00katz	Katz, P. Moses	Dem Natsi's Yidishe ṭokhṭer	דעם נאצי'ס יידישע טאכטער : א לעבנס-בילד אין דריי אקטן מיט פראלאג און עפילאג	Narod Pres			Narod pres	1947	yid	130
deralterfunlom00suhl	Suhl, Yuri, 1908-1986	Der alṭer fun Lompaduni	דער אלטער פון לאמפאדוני	Farlag Nidershlezye			"Farlag ""Nidershlezye"""	1948	yid	70
deremesvegen00unze		Der emes̀ ṿegen geshlekhṭs-leben	דער אמת וועגען געשלעכטס־לעבען	Unzer gezund			Unzer gezund	1915	yid	198
derfamilyendok00pasi		Der familyen-doḳṭor	דער פאמיליען-דאקטאר און פיהרער צו געזונטהייט : אן אפהאנדלונג איבער דער אויסמיידונג און קורירונג פון קראנקהייטען	Pasifiḳ Pres			Pasifiḳ Pres	1926	yid	434
derkarahod00schn	Schnitzler, Arthur, 1862-1931	Der ḳarahod	דער קאראהאד : צעהן דיאלאגען	Liṭerarisher ferlag			Liṭerarisher ferlag	1916	yid	108
derkoyfmannfun00ofg	Freid, Meir Jacob, 1871-1940	Der ḳoyfmann fun Ṿenedig (Shayloḳ)	דער קויפמאנן פון ווענעדיג : שיילאק	Ṿarsha : [o. fg.]	Ṿarsha 	Warsaw	o. fg.,	c1903	yid	244
derletstermohi21coop	Cooper, James Fenimore, 1789-1851	Der letsṭer Mohiḳaner	דער לעצטער מאהיקאנער	B. Shimin			B. Shimin	1921	yid	178
dermeylekhdovid00asze	Aszendorf, Israel, 1909-1956	Der Meylekh Dovid	דער מלך דוד : דראמאטישע פאעמע	J. Schneider Oshrin			J. Schneider Oshrin	1995	yid	168
dermoser00mill	Miller, Louis E., 1866-1927	Der moser	דער מסור : דראמא אין 4 אקטען	Ṿarhayṭ poblishing ḳomp.			Ṿarhayṭ poblishing ḳomp.	[1914]	yid	214
derpraktishe00zabl	Zabludovski, M.	Der praḳṭisher eleḳṭrọ̣ṭekhniḳer	דער פראקטישער עלעקטראטעכניקער : האבט בוך פאר עלעקטראמאנטערן שילער און אליין לערנער	[meḥaber]			Meḥaber	1925	yid	182
derroyteralbum00nov	Noṿiḳ, P., 1891-	Der royṭer album	דער רויטער אלבום : בילדער פון די רעוואלוציאנערן פון דער וועלט	"Farlag ""Frayhayṭ,"""			"Farlag ""Frayhayṭ"""	1925	yid	124
dersanzertsadik00rock	Rocker, Samuel, 1864-1936	Der Sanzer Tsadik	דער סאנזער צדיק : חיים האלברשטם ... : זיין לעבען, זיין ווירקען	Unyon bukhdruḳeray, Brider Afel			Unyon bukhdruḳeray, Brider Afel	687, [1927]	yid	250
dershlimmazeldig00shay	Shayḳeṿiṭsh, N. M. (Naḥum-Me'ir), 1849-1905	Der shlimmazeldiger mazol-tov, oder, : Arele	דער שליממזלדיגער מזל-טוב, אדער, : אדעלע, איינע וואהרט ערציילונג	o. fg			o. fg.,	649, 1888	yid	62
dershvartserho00dick	Dick, Isaac Meir, 1814-1893	Der shṿartser hon	דער שווארצער האן	Y.L. Mats			Y.L. Mats	[1911-1912]	yid	524
dertseylungenfun00alpe	Alpersohn, Marcos, 1860-1947	Dertseylungen fun feld	דערציילונגען פון פעלד	[o. fg.]			o. fg.,	1943	yid	226
dertsoyberbarg01mann	Mann, Thomas, 1875-1955	Der tsoyberbarg	דער צויבערבארג	Vilner farlag fun B. Kletskin			Vilner farlag fun B. Kletskin	1930	yid	315
dertsoyberbarg02mann	Mann, Thomas, 1875-1955	Der tsoyberbarg	דער צויבערבארג	Vilner farlag fun B. Kletskin			Vilner farlag fun B. Kletskin	1930	yid	288
dertsoyberbarg03mann	Mann, Thomas, 1875-1955	Der tsoyberbarg	דער צויבערבארג	Vilner farlag fun B. Kletskin			Vilner farlag fun B. Kletskin	1930	yid	352
dertsoyberbarg04mann	Mann, Thomas, 1875-1955	Der tsoyberbarg	דער צויבערבארג	Vilner farlag fun B. Kletskin			Vilner farlag fun B. Kletskin	1930	yid	320
dervunderoytse00else	Elset, Jehuda	Der ṿunder-oytser fun der Yudisher shprakh	דער וואונדער-אוצר פון דער יודישער שפראך : פאלקסטימליכע רעדענסארטען, גלייכווערטלעך און אנעקדאטען	Y. Elzeṭ			Y. Elzeṭ	1918 [i.e. 1919 or 1920]	yid	404
deryidisherkon00pril	Prilutsḳi, Noaḥ	Der Yidisher ḳonsonanṭizm	דער יידישער קונסונאנטיזם : אין צוויי בענדער	[Nayer ferlag			Nayer ferlag	1917]	yid	300
derzeyger00shol	Sholem Aleichem, 1859-1916	Der zeyger	דער זייגער	Farband fun Yidishe ḳulṭur-gezelshafṭn in Franḳraykh			Farband fun Yidishe ḳulṭur-gezelshafṭn in Franḳraykh	1947	yid	30
dibobemitdemey00gold	Goldfaden, Abraham, 1840-1908	Di bobe miṭ dem eyneḳil	דיא באבע מיט דעם איינעקיל	Y. LidsḳI			Y. Lidsḳi	1905	yid	118
didialektik00seed	Seedo, N. M.	Di dialeḳṭiḳ fun gefil un gedanḳ	די דיאלעקטיק פון געפיל און געדאנק	Farlag Y. Noraditsḳi			Farlag Y. Noraditsḳi	1941	yid	292
dieybikemilhome00derl	Der Lebediḳer, 1887-1961	Di eybike mil.home	די אייביקע מלחמה : סאטירן, הומארעסקעס און לעקציעס וועגן מאן און פרוי	Ḥ. Bzshoza			Ḥ. Bzshoza	1937	yid	212
difroyvelkheho00alle	Allen, Grant, 1848-1899.	Di froy ṿelkhe hoṭ es geṭohn	די פרוי וועלכע האט עס געטהאן : ראמאן	Malerman's liṭerarishe pob. ḳo.			Malerman's liṭerarishe pob. ḳo.	1918	yid	208
digasnfroy00marg	Margueritte, V. (Victor), 1866-1942	Di gasn-froy	די גאסן-פרוי	Sh. Goldfarb			Sh. Goldfarb	1930	yid	334
digeshikhtefun00beil	Beilis, Mendel	Di geshikhṭe fun mayne layden	די געשיכטע פון מיינע ליידען	Mendel Beylis pob. ḳo.			Mendel Beylis pob. ḳo.	1925	yid	278
digeshikhtefun00mark	Mark, Bernard, 1908-1966	Di geshikhṭe fun Yidn in Poyln	די געשיכטע פון יידן אין פוילן : ביזן סוף פון XV י.ה.	Yidish bukh			Yidish bukh	1957	yid	482
digroyserusisher00beke	Beker, Yosef	Di groyse Rusishe revolutsye	די גרויסע רוסישע רעוואלוציע	Farlag fun der fareyn fun di Yidishe liṭeraṭn un zshurnalisṭn in Ṿilne			Farlag fun der fareyn fun di Yidishe liṭeraṭn un zshurnalisṭn in Ṿilne	1920-1921	yid	310
dikomedyesfund00melu		Di ḳomedyes fun der Berliner ufḳlerung	די קאמעדיעס פונ דער בערלינער אופקלערונג	Melukhe-farlag			Melukhe-farlag	1933	yid	198
diliderfunagoldf00gold	Goldfaden, Abraham, 1840-1908	"Di lider fun A. Goldfadns ""Bar-Kokhba"""	די לידער פון א. גאלדפאדנס בר-כוכבא	Frayheyṭ-gezangs-fareyn, ṿinter			Frayheyṭ-gezangs-fareyn, ṿinter	1938-39 [d.h. 1938 or 1939]	yid	36
dinatsyonalefrag00mede	Medem, Vladimir, 1879-1923	Di natsyonale frage un di sotsyal-demoḳraṭye	די נאציאנאלע פראגע און די סאציאל-דעמאקראטיע	Druḳeray fun Ṿiṭṿe et. Geb. Rom			Druḳeray fun Ṿiṭṿe et. Geb. Rom	1906	yid	220
dipipelsrelieffu00spet		Di pipels relief fun Ameriḳa	די פיפעלס רעליעף פון אמעריקא : פאקטן און דאקומענטנן, 1915-1924	Spetsyeler bukh ḳomiṭet			Spetsyeler bukh ḳomiṭet	[1924?]	yid	832
dire00yoff	Yoffe, Yudl, 1882-1941	A dire	א דירע : דערציילונגען	Tsenṭrfarlag			Tsenṭrfarlag	1929	yid	162
direkhtfunderfro00ashk	Ashkenazi, Shelomoh	Di Rekht Fun Der Froy Als Vayb Un Mentsh	די רעכט פון דער פרוי אלס ווייב און מענטש : ביי יידן און נישט־יידן	"Farlag ""Yidish bukh"""			Farlag Yidish bukh	1930	yid	256
dishtilkayt00manm	Man, Mendel, 1916-	Di shṭilḳayṭ monṭ	די שטילקייט מאנט : לידער און באלאדן	Borokhov-Farlag			Borokhov-Farlag	1945	yid	50
divelthole00trun	Trunk, Yeḥiel Yeshaia, 1887-1961	Di ṿelṭ a ḥolem	די וועלט א חלום : עסייס	Di tsayṭ			Di tsayṭ	1922	yid	108
diveltundimens00edyu		Di ṿelt un di menshhayṭ	די וועלט און די מענשהייט: 12 פארלעזונגען איבער דער ענטוויקלונג פון נאטור און קולטור	Edyuḳeyshonal ḳomiṭe fun arbeyṭer ring			Edyuḳeyshonal ḳomiṭe fun arbeyṭer ring	1913	yid	446
divildeprintse00gord	Gordin, Jacob, 1853-1909	Di ṿilde printsesin, oder, Medea's yugend	דיא ווילדע פרינצעסין, אדער, מעדעא׳ס יוגענד	Druḳ fun Yudishen ṭeglikhen heral[d]			Druḳ fun Yudishen ṭeglikhen herald	1898	yid	64
diyidishetrage00mede		Di Yidishe ṭragedye in Eyrope	די יידישע טראגידיע אין אייראפע	Medem Ḳlub			Medem-ḳlub	1943	yid	92
diyidninnatsipoy00spiz	Spizman, Leib, 1903-1963	Di Yidn in natsi-Poyln	די יידן אין נאצי-פוילן	Yidisher ḳemfer			Yidisher ḳemfer	1942	yid	486
diyidninpoyln00ko		Di Yidn in Poyln	די יידן אין פוילן	Ḳomiṭeṭ far der oysgabe Di Yidn in Poyln			Ḳomiṭeṭ far der oysgabe Di Yidn in Poyln	1946	yid	474
diyudene00gold	Goldfaden, Abraham, 1840-1908	Di Yudene	דיא יודענע : פערשייעדענע געריכטע און טהעאטער אין פראסט יודעשען	Ulrikh eṭ Shulṭtse			Ulrikh eṭ Shulṭtse	1872	yid	102
dokumentnfun00fede		Doḳumenṭn fun farbrekhns un marṭirershafṭ	דאקומענטן פון פארברעכנס און מארטירערשאפט	Federatsye fun Poylishe Yidn in Urugṿay			Federatsye fun Poylishe Yidn in Urugṿay	1948	yid	270
dokumentnunm00mark	Mark, Bernard, 1908-1966	Doḳumenṭn un maṭeryaln ṿegn oyfshṭand in Ṿarsheṿer Geṭo	דאקומענטן און מאטעריאלן וועגן אויפשטאנד אין ווארשעווער געטא	Farlag Yidish Bukh			Farlag Yidish bukh	1953	yid	424
dorf00korn	Korn, Rachel H. (Rachel Häring), b. 1898	Dorf	דארף	Ṿilner farlag fun B. Ḳletsḳin			Ṿilner farlag fun B. Ḳletsḳin	1928	yid	94
doroysdorayn00mark	Markish, Peretz, 1895-1952	Dor-oys, dor-ayn	דאר-אויס, דאר-איינ	Melukhe-farlag Der emes			"Melukhe-farlag ""Der Emes"""	1938	yid	392
dosbukhfundzshon00kipl	Kipling, Rudyard, 1865-1936	Dos bukh fun dzshongl	דאס בוך פון דזשאנגל	Vilner farlag fun B.A. Ḳletsḳin			Vilner farlag fun B.A. Ḳletsḳin	[1913?]	yid	316
dosbukhfuntser00asch	Asch, Sholem, 1880-1957	Dos bukh fun tser	דאס בוך פון צער	̣ultur-lige			̣ultur-lige	1930	yid	318
dosfamilyenkok00hibr		Dos Familyen ḳokh-bukh	דאס פאמיליען קאך-בוך	Hibru Poblishing Ḳompani			Hibru poblishing ḳompani	1928, c1914.	yid	432
dosfreylekhete00dert	Der Tunkeler, 1881-1949	Dos freylekhe ṭeaṭer	דאס פריילעכע טעאטער : איינאקטערס, סצענקעס, דעקלאמאציעס	Farlag Bikher			Bikher farlag	1931	yid	262
dosgeshlekhtsleb00bloc	Bloch, Iwan	Dos Geshlekhts-Lebn Fun Unzer Tsayt	דאס געשלעכאס-לעבן פון אונזער צייט	Yaṭshḳoṿski			Yaṭshḳoṿski	1934	yid	184
dosgezangfunvi00kacz	Kaczerginski, Szmerke, 1908-1954	Dos gezang fun Ṿilner Geṭo	דאס געזאנג פון ווילנער געטא	Farband fun di Ṿilner in Franḳraykh			Farband fun di Ṿilner in Franḳraykh	1947	yid	68
doshoyzfundzshey00berg	Bergner, Hertz	Dos Hoyz Fun Dzsheykob Ayziks	דאס הויז פון דזישייקאב אייזיקס : נאוועלן	Farlag Yidishe nayes			Farlag Yidishe nayes	1955	yid	332
doslidfundemyidi00rose	Rosenfarb, Chawa, 1923-	Dos lid fun dem Yidishn ḳelner Abram	דאס ליד פון דעם יידישן קעלנער אבראם	bMoshe Evbod			bMoshe Evbod	1948	yid	104
dosrevolutsyon00aroy		Dos reṿolutsyonere Rusland	דאס רעוואלוציאנערע רוסלאנד	"Aroysgegeben fun Tsenṭral-ferband fun ""Bund"" in ferlag fun der Idisher sotsyalisṭisher federatsye in Ameriḳa"			"Aroysgegeben fun Tsenṭral-ferband fun ""Bund"" in ferlag fun der Idisher sotsyalisṭisher federatsye in Ameriḳa"	1917	yid	144
dosvortfunvi00unio	Union Des juifs pour la resistance et l'entraide	Dos vorṭ fun ṿidershṭand un zig	דאס ווארט פון ווידערשטאנד און זיג : זאמלונג פון אונטערערדישע צייטונגען, אויפרופן און בראשורן	Oyfsnay			Oyfsnay	[1949]	yid	288
dovidedelshtat00edel	Edelstadt, David, 1866-1892	Doṿid Edelshṭaṭ geḳlibene ṿerḳ in dray bender	דאוויד עדעלשטאט : געקליבענע ווערק אין דריי בענדער	Mosḳṿe : Emes	Mosḳṿe 	Moskva	Emes	1935	yid	356
dukus00kacy	Kacyzne, Alter, 1885-1941	Duḳus	דוכוס : דראמע אין פיר אקטן	B. Ḳletsḳin			B. Ḳletsḳin	1926	yid	152
englishzelbstl00blac	Blackman, Philip, 1881-	English zelbsṭ-lehrer	ענגליש זעלבסט-לעהרער : מעטהאדע זיך צו לעהרנען רעדען אהן א לעהרער	E. Marlborough			E. Marlborough	1919	yid	144
ershteblitn00alts	Altshuler, Leo, 1904-	Ershṭe bliṭn	ערשטע בליטן	[o. fg.]			o. fg.,	1928	yid	100
ertsyisroelshr00yidi		Erts-Yiśroel-shrifṭn	ארץ-ישראל-שריפטן 1937	Yidisher liṭeraṭn-un zshurnalisṭn-ḳlub in Erts-Yiśroel			Yidisher liṭeraṭn-un zshurnalisṭn-ḳlub in Erts-Yiśroel	1937	yid	236
eygns00berg	Bergelson, David, 1884-1952	Eygns	אייגענס : צווייטער בוך	Ḳieṿ : Farlag ḳulṭur lige	Ḳieṿ 	Ḳieṿ	Farlag ḳulṭur lige	1920	yid	316
eygnsunfremds00aroy		Eygns un fremds	אייגנס און פרעמדס	Aroysgegebn fun der Ḳulṭur lige fun Bosṭon un umgegnṭ			Aroysgegebn fun der Ḳulṭur lige fun Bosṭon un umgegnṭ	1922	yid	168
farloyrenemenshn00opat	Opatoshu, Joseph, 1886-1954	Farloyrene menshn	פארלויענע מענשן : א ראמאן פונם יידישן לעבן אין אמעריקע	Idisher liṭerarisher farlag			Idisher liṭerarisher farlag	1922	yid	366
farnakhtengold00gree	Greenberg, Uri Zvi, 1898-	Farnakhṭengold	פארנאכטענגאלד	Tsayṭ			Tsayṭ	1921	yid	220
felkerzingen00mang	Manger, Itzik, 1901-1969	Felḳer zingen	פעלקער זינגען	Ḥ. Bzshoza			Ḥ. Bzshoza	1936	yid	112
fetertomssht00stow	Stowe, Harriet Beecher, 1811-1896	Feṭer Toms shṭibl	פעטער טאמס שטיבל : ראמאן פאר יוגנט	Ṿilner farlag fun B. Ḳletsḳin			Ṿilner farlag fun B. Ḳletsḳin	1928	yid	434
firmentshnzukh00lyev	Lyev, Ziskind	Fir menṭshn zukhn di revolutsye	פיר מענטשנ זוכנ די רעוואליוציע : ראמאנ	Melukhe-farlag fun Ṿaysrusland notsseḳter			Melukhe-farlag fun Ṿaysrusland notsseḳter	1933	yid	192
fizike00zabl	Zabludoṿsḳi, Mordekhai	Fiziḳe	פיזיקע : פאַר פאַך־שולעס, פאך־קורסן, מיטלשולעס און אליינלערנערס	Y. Inditsḳi			Y. Inditsḳi	1929	yid	162
flamen00lond	Londinsḳi, Sh. Y. (Shemu'el Yaḳir), 1889-1956	Flamen	פלאמען	Di tsayṭ			Di tsayṭ	1920	yid	128
fragnfunyidisher00farl		Fragn fun Yidisher shprakh	פראגנ פון דער יידישער שפראכ	Farlag Emes			"Farlag ""Emes"""	1938	yid	290
frayeliebe00herm	Hermalin, D. M., 1865-1921	Fraye Liebe	פרייע ליעבע : א ראדיקאלעס לעבענסבילד	Hibru publishing ḳo.			Hibru publishing ḳo.	[19--]	yid	140
fremdverterb00roze	Rozenshteyn, A. B., 1881-1950	Fremd-ṿerṭer-bukh	פרעמד-ווערטער-בוך	Bikher-far-ale			Bikher-far-ale	1914	yid	264
funbeydezaytny00boto	Botoshansky, Jacob, 1895-	Fun beyde zayṭn yam	פון ביידע זייטן ים : דערציילונגען, גראָטעסקן און מיניאטורן	Oyfgang			Oyfgang	c1928	yid	172
funlandtsuland00gell	Geller, Todros, 1889-1949	Fun land tsu land	פון לאנד צו לאנד : האלצשניטן	L.M. Shteyn			L.M. Shteyn	1937	yid	136
funmendelsonbizm00rejz	Rejzen, Zalman, 1887-1941	Fun Mendelson biz Mendele	פון מענדעלסאן ביז מענדעלע : האנטבוך פאר דער געשיכטע פון דער יידישער השכלה-ליטעראטור מיט רעפראדוקציעס און בילדער	Ḳulṭur-Lige			Ḳulṭur-lige	1923	yid	438
funnyuyorkergh00opat	Opatoshu, Joseph, 1886-1954	Fun Nyu Yorḳer gheṭo	פון ניו יארקער גהעטא	Yiddish Literary Publishing Co.			Yiddish Literary Publishing Co.	c1914	yid	118
funroytenleben00mast	Mastbaum, Joel, 1884-1957	Fun royṭen leben	פון רויטען לעבען : ראמאן	Di tsayṭ			Di tsayṭ	1921	yid	338
garberbundunbers00dubn	Dubnova-Erlikh, Sofiia	Garber-Bund un Bershṭer-Bund	גארבער־בונד און בערשטער־בונד : בלעטלעך געשיכטע פון דער יידישער ארבעטער־באוועגנונג	"""Ḳulṭur-lige"""			Ḳulṭur-lige	1937	yid	298
gargantyuaunpa00rabe	Rabelais, Francois, ca. 1490-1553	Garganṭyua un Panṭagriel	גארגאנטיוא אונ פאנטאגריעל : געקירצטע אופלאגע	Melukhe-farlag far di natsionale minderhayṭn in USSR			"Melukhe-farlag far di natsionale minderhayṭn in USS""R"	1940	yid	310
gedakht00dern	Der Nister, 1884-1950	Gedakht	געדאכט	̣ooperaṭiṿer farlag Ḳulṭur-lige			"Ḳooperaṭiṿer farlag ""Ḳulṭur-lige"""	1929	yid	342
geklibenedikht00imbe	Imber, S. J. (Samuel Jacob), 1889-1939	Geḳlibene dikhṭungen	געקליבענע דיכטונגען	Nayland			Nayland	1921	yid	276
geklibeneshrif00fens	Fenster, Tobias, 1864-1959	Geḳlibene shrifṭn	געקליבענע שריפטן	Nelson Ṿeyner			Nelson Ṿeyner	1961	yid	350
geklibeneshrifte00ahad	Ahad Ha'am	Geklibene Shriften	געקליבענע שריפטען	"ferlag ""Liṭeraṭur"", 678"			"ferlag ""Liṭeraṭur"", 678"	[1918 or 1919]	yid	164
geografisherat00soko	Sokolov, S.N.	Geografisher aṭlas	געאגראפישער אטלאס	Tsenṭraler felḳer-farlag fun F.S.S.R.			Tsenṭraler felḳer-farlag fun F.S.S.R.	1928	yid	46
geometrye00zabl	Zabludowski, Mordechai	Geomeṭrye	געאמעטריע : עלעמענטארער קורס פאר שולע און צום אליינלערנען	Farlag Ḳulṭur-lige			Farlag ḳulṭur lige	1919	yid	178
geshikhtes00fini	Fininberg, Ezra, 1899-1946	Geshikhṭes	געשיכטעס : מייסעלעכ אונ פאעמעס	"Melukhe-farlag ""Der emes"""			"Melukhe-farlag ""Der Emes"""	1939	yid	200
geshtaltn00spiz	Spizman, Leib, 1903-	Geshṭalṭn	געשטאלטן	Ḳiyem			Ḳiyem	722, 1962	yid	326
gevaldvensht00gott	Gottesfeld, Chone, 1890-1964	Geṿald, ṿen shṭarbṭ er?	געוואלד, ווען שטארבט ער?	B. Ḳletsḳin			B. Ḳletsḳin	1926	yid	126
geviksn00bot	Boṭsh, G.	Geṿiḳsn	געוויקסן	Ḳulṭur-lige			Ḳulṭur-lige	[1922]	yid	172
gezamelteshrif00ansk	An-Ski, S., 1863-1920	Gezamelṭe shrifṭen	געזאמעלטע שריפטען	"Ferlags-bukhhandlung ""ʿEzrah"""			"Ferlags-bukhhandlung ""ʿEzrah"""	1911	yid	224
gezamlteshrift00gold	Goldhar, Pinchas, 1901-1947	Gezamlṭe shrifṭn fun zayn liṭerarisher yerushe	געזאמלטע שריפטן פון זיין ליטערארישער ירושה	"Farlag ""Fraynṭ fun der Yidisher Liṭeraṭure"" in Melborn"			"Farlag ""Fraynṭ fun der Yidisher Liṭeraṭure"" in Melborn"	1949	yid	496
