ID	creator	title	title-alt-script	publisher	to split 1	clusteredPlaces	clusteredPublisher	date	language	imagecount
nybc211537	Tenenbaum, Joshua, 1910-	Bay der ṿelṭ tsugasṭ dertseylungen un reporṭazshn	ביי דער וועלט צוגאסט : דערציילונגען און רעפארטאזשן	Ṿarshe : Liṭerarishe bleṭer	Ṿarshe 	Warsaw	Liṭerarishe bleṭer	1937	yid	192
nybc211538	Karmiol, Wolf	Der ḳoridor dertseylungen	דער קארידאר : דערציילונגען	"Tel-Aviv : Farlag ""Yiśroel-bukh"""	Tel-Aviv 	Tel-Aviv	"Farlag ""Yiśroel-bukh"""	1985	yid	210
nybc211539	Shamri, Arie	In ṭoyer fun ṭeg	אין טויער פון טעג	[Merḥavyah] : Sifriyat poalim	[Merḥavyah] 	Merḥavyah	Sifriyat poalim	1947	yid	168
nybc211540	Shamri, Arie	In ṿokhiḳn likhṭ	אין וואכיקן ליכט	[Tel-Aviv] : Sifriyat Poalim, Hotsaʼat ha-Ḳibuts ha-Artsi ha-Shomer ha-Tsair	[Tel-Aviv] 	Tel-Aviv	Sifriyat Poalim, Hotsaʼat ha-Ḳibuts ha-Artsi ha-Shomer ha-Tsair	1953	yid	130
nybc211541	Rimon, Y. Zvi, 1889-1958	Lider	לידער	"Tel-Aviv : Farlag ""Yiśroel-Bukh"""	Tel-Aviv 	Tel-Aviv	"Farlag ""Yiśroel-bukh"""	1983	yid	106
nybc211542	Apelowicz, Dobke	Zamlung : poemes, dertseylungen, lider, muziḳ	זאמלונג : פאעמעס, דערציילונגען, לידער, מוזיק	Melbourne : Apel Nominees Pty.	Melbourne 	Melbourne	Apel Nominees Pty.	1990	yid	262
nybc211543	Rosenblatt, Moses, ca. 1875-1948	A teḳufeh fun 60 yohr a zamelbukh in Yidish un Hebreyish le-koved dem 60 yohrigen yubileyum fun ha-rav Moyshe Rozenblaṭ	א תקופה פון 60 יאהר : א זאמעלבוך לכבוד דעם 60 יאהריגען יובילעאום פון הרב משה ראזענבלאט	Nyu Yorḳ : Yubileyum Ḳomiṭeṭ	Nyu Yorḳ 	New York, N.Y.	Yubileyum Ḳomiṭeṭ	1936	yid	196
nybc211544	Wyspiański, Stanislaw, 1869-1907	Rikhṭer a ṭragedye	ריכטער : א טראגעדיע	Ṿarshe : Arbeṭer-heym	Ṿarshe 	Warsaw	Arbeṭer-heym	[19--?]	yid	66
nybc211545	Strindberg, August, 1849-1912	"Der ṿampir : tsṿeyṭem ṭeyl ""Ṭoydṭen-ṭants"" ; drama in 3 aḳṭen"	"דער וואמפיר : צווייטעם טהייל ""טוידטען-טאנץ"""	Nyu Yorḳ : M. Yanḳoṿiṭsh	Nyu Yorḳ 	New York, N.Y.	M. Yanḳoṿiṭsh	[191-?]	yid	58
nybc211546	Wilde, Oscar, 1854-1900	Di balade fun Reding-Ṭurme	די באלאדע פון רעדינג-טורמע	Nyu Yorḳ : Di feder	Nyu Yorḳ 	New York, N.Y.	Di feder	1925	yid	34
