Name;City;Country;Address;Geonames ID;Geonames Coordinates;histomap; Institution;Source;Other;Spalte1
Speiser, W.; Paris; Frankreich; 34 Rue de Rossers;2988507;48.85341, 2.3488;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Stematzki, Z.; Tel-Awiw; Palästina; Lilienblumstr.;293397;32.08088, 34.78057;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Stern, S; Rüsselsheim a.M.; Deutschland;;2842884;49.98955, 8.42251;; Versandbuchhandlung;Adressbuch jüdischer Buchhandel;;
Sternbach; Drohobycz; Klein-Polen; Golehia 3;709611;49.351, 23.5174;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Sternfeld, D.; Czernowitz, Bukowina; Rumänien; Piata Datia 8;;;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Sternkuker, M.; Köln a.Rh.; Deutschland; Thieboldstr. 24;2886242;50.93333, 6.95;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Sternkuker, O.; Berlin C54; Deutschland; Grenadierstr. 8;2950159;52.52437, 13.41053;52.526903216804044, 13.410140625387795; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Sturm; Riga; Lettland; Herrengasse 26;456172;56.946, 24.10589;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Stybel, A., J.; Warschau; Polen; Orla 11;756135;52.22977, 21.01178;; Verlag hebräischer Bücher;Adressbuch jüdischer Buchhandel;" Auslieferung durch ""Central” ";
Sußmarn; London E1; England; Whiteshapel, 90 New Road;2643743;51.50853, -0.12574;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Syrkin, A.-G.; Wilna; Polen; Wielka 42;593116;54.68916, 25.2798;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Szapiro; Warschau; Polen; Nowolipki 8;756135;52.22977, 21.01178;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Tarbuth; Jerusalem; Palästina;;281184;31.76904, 35.21633;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; P.O.B. 323;
Tarbuth; Kowno; Litauen; Lukso g-ve 8;598316;54.90272, 23.90961;; Buchhandlung für hebräische Bücher;Adressbuch jüdischer Buchhandel;;
Tarbuth; New York; U.S.A.; s. S. Rabinowitz;5128581;40.71427, -74.00597;;;Adressbuch jüdischer Buchhandel;;
Tarbuth; Tel-Awiw; Palästina;;293397;32.08088, 34.78057;; Buchhandlung;Adressbuch jüdischer Buchhandel; P.O.B. 67;
Tel-Aviv Publishing House; Tel-Awiw; Palästina; Lilienblum Street 33;293397;32.08088, 34.78057;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel; P.O.B. 373;
Tenenbaum, J.; Edinti; Beßarabien, Rumänien;;617076;48.17215, 27.30337;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Tenenblum, A.; Lodz; Polen; Piotrkowska 50;3093133;51.77058, 19.47395;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Topitowsky, Wolf; Köln a.Rh.; Deutschland; Pfeilstraße 23;2886242;50.93333, 6.95;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Traklin; Warschau; Polen; Muranowska 35/38;756135;52.22977, 21.01178;; Verlag hebräischer Jugendliteratur;Adressbuch jüdischer Buchhandel;;
Ullmann Rafael Ferenz; Budapest; Ungarn; IV Kassuth Lajos u. 15;;;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Univers; Wilna; Polen; Wielka 40;593116;54.68916, 25.2798;; Verlag;Adressbuch jüdischer Buchhandel;;
Universum; Riga; Lettland; Alexanderstr. 37/39;456172;56.946, 24.10589;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Uzan & Frère; Tunis; Afrika; 28 Rue Si di Mardoum;2464470;36.81897, 10.16579;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Wahrmann, M. A.; Frankfurt a.M.; Deutschland; Am Schwimmbad 11;2925533;50.11552, 8.68417;; Buchhandlung, Verlag;Adressbuch jüdischer Buchhandel;;
Weingart, B.; Chicago III; U.S.A.; 2005 West Division Str.;4887398;41.85003, -87.65005;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Weiss, Salomon; Sighetul-Marmatiei; Rumänien; Calca Dragos Voda 8;667227;47.93195, 23.88603;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Welt-Verlag; Berlin W9; Deutschland; Linkstr. 39;2950159;52.52437, 13.41053;52.5069849754533, 13.374138983151248; Verlag;Adressbuch jüdischer Buchhandel; Postscheckkonto: Berlin 89591;
Die Welt; Warschau; Polen; Nowolipki 7;756135;52.22977, 21.01178;; Verlag jiddischer Bücher;Adressbuch jüdischer Buchhandel;;
Whitberg, L.; Glasgow; England; 21 Main Street, Garbals;2648579;55.86515, -4.25763;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Wiener, E.; Kattowitz; Polen; UI Szopena 8;3096472;50.25841, 19.02754;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Wilf, Osias; Lwow; Galizien; Sloneczna 23;702550;49.83826, 24.02324;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Wostok; Berlin SW48; Deutschland; Wilhelmstr. 136;2950159;52.52437, 13.41053;52.50132660854601, 13.38853902047554; Verlag;Adressbuch jüdischer Buchhandel; Tel.: Hasenheide 4824;
Zeire-Zion; Kowno; Litauen; M. Vilniaus g-ve 19;598316;54.90272, 23.90961;; Verlag;Adressbuch jüdischer Buchhandel;;
Die Zeit; Warschau; Polen; Dzielna 13;756135;52.22977, 21.01178;; Verlag;Adressbuch jüdischer Buchhandel;;
Zentral-Organisation der Lehrer, Verlag der; Jaffa; Palästina;;293253;32.05043, 34.75224;; ;Adressbuch jüdischer Buchhandel;;
Zhytlowski-Verlag; New York; U.S.A.; 242 East Broadway;5128581;40.71427, -74.00597;; Verlag jüdischer Bücher;Adressbuch jüdischer Buchhandel;;
Ziegelheim, H.; Wien II; Oesterreich; Gr. Schiffgasse 48;2761369;48.20849, 16.37208;; Verlag, Buchhandlung;Adressbuch jüdischer Buchhandel;;
Zingmann, Jakob; Kowno; Litauen; Birstonia g-ve 12;598316;54.90272, 23.90961;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
Zwerling, Ire; Lwow; Klein-Polen; Legionow 33;702550;49.83826, 24.02324;; Buchhandlung;Adressbuch jüdischer Buchhandel;;
